"externalId";"name";"code";"active";"countyExternalId"
"141104";"Chãos";"141104";"true";"141100"
"450206";"Velas";"450206";"true";"450200"
"040213";"Espinhosela";"040213";"true";"040200"
"140501";"Benavente";"140501";"true";"140500"
"061102";"Alvoco das Várzeas";"061102";"true";"061100"
"420303";"Candelária";"420303";"true";"420300"
"120303";"Avis";"120303";"true";"120300"
"121410";"Urra";"121410";"true";"121400"
"011303";"Fajões";"011303";"true";"011300"
"040249";"Zoio";"040249";"true";"040200"
"110113";"Ventosa";"110113";"true";"110100"
"031232";"Pousada de Saramagos";"031232";"true";"031200"
"091418";"Freixo de Numão";"091418";"true";"091400"
"030926";"Taíde";"030926";"true";"030900"
"180322";"São Joaninho";"180322";"true";"180300"
"131701";"Arcozelo";"131701";"true";"131700"
"460101";"Calheta de Nesquim";"460101";"true";"460100"
"160407";"Cambeses";"160407";"true";"160400"
"151301";"Sines";"151301";"true";"151300"
"170635";"Vila da Ponte";"170635";"true";"170600"
"171203";"Algeriz";"171203";"true";"171200"
"090207";"Castelo Bom";"090207";"true";"090200"
"171002";"Covas do Douro";"171002";"true";"171000"
"131603";"Aveleda";"131603";"true";"131600"
"180504";"Britiande";"180504";"true";"180500"
"080602";"Ferragudo";"080602";"true";"080600"
"170616";"Morgade";"170616";"true";"170600"
"020503";"Beringel";"020503";"true";"020500"
"030210";"Areias";"030210";"true";"030200"
"110602";"Alcântara";"110602";"true";"110600"
"140604";"Pontével";"140604";"true";"140600"
"050105";"Maçainhas";"050105";"true";"050100"
"091109";"Baraçal";"091109";"true";"091100"
"041216";"Penhas Juntas";"041216";"true";"041200"
"170203";"Beça";"170203";"true";"170200"
"480203";"Ponta Delgada";"480203";"true";"480200"
"181406";"São João de Areias";"181406";"true";"181400"
"151005";"Corroios";"151005";"true";"151000"
"310603";"Ribeira da Janela";"310603";"true";"310600"
"180703";"Arcozelos";"180703";"true";"180700"
"030821";"Gondar";"030821";"true";"030800"
"030828";"Lordelo";"030828";"true";"030800"
"182310";"Cota";"182310";"true";"182300"
"180602";"Alcafache";"180602";"true";"180600"
"121210";"Tolosa";"121210";"true";"121200"
"130526";"Vilar do Torno e Alentém";"130526";"true";"130500"
"140304";"Raposa";"140304";"true";"140300"
"040820";"Travanca";"040820";"true";"040800"
"090511";"Muxagata";"090511";"true";"090500"
"150201";"Alcochete";"150201";"true";"150200"
"182317";"Silgueiros";"182317";"true";"182300"
"031009";"Gondoriz";"031009";"true";"031000"
"040609";"Palaçoulo";"040609";"true";"040600"
"030220";"Carvalhal";"030220";"true";"030200"
"040616";"Vila Chã de Braciosa";"040616";"true";"040600"
"121003";"Santo António das Areias";"121003";"true";"121000"
"090749";"Videmonte";"090749";"true";"090700"
"091114";"Fóios";"091114";"true";"091100"
"041009";"Roios";"041009";"true";"041000"
"071404";"Pardais";"071404";"true";"071400"
"111317";"Turcifal";"111317";"true";"111300"
"470108";"Matriz";"470108";"true";"470100"
"131712";"Oliveira do Douro";"131712";"true";"131700"
"141302";"Amêndoa";"141302";"true";"141300"
"091208";"Paranhos";"091208";"true";"091200"
"030413";"Pedraça";"030413";"true";"030400"
"070301";"Borba (Matriz)";"070301";"true";"070300"
"070411";"São Domingos de Ana Loura";"070411";"true";"070400"
"182319";"Orgens";"182319";"true";"182300"
"181914";"Tabuaço";"181914";"true";"181900"
"010924";"Sanguedo";"010924";"true";"010900"
"050913";"Troviscal";"050913";"true";"050900"
"460202";"Candelária";"460202";"true";"460200"
"110708";"Lousa";"110708";"true";"110700"
"030301";"Adaúfe";"030301";"true";"030300"
"030827";"Longos";"030827";"true";"030800"
"061508";"Samuel";"061508";"true";"061500"
"131003";"Baltar";"131003";"true";"131000"
"091013";"Lameiras";"091013";"true";"091000"
"182322";"Ribafeita";"182322";"true";"182300"
"070103";"Santiago Maior";"070103";"true";"070100"
"450202";"Norte Grande (Neves)";"450202";"true";"450200"
"171013";"Souto Maior";"171013";"true";"171000"
"040819";"Tó";"040819";"true";"040800"
"090507";"Infias";"090507";"true";"090500"
"171315";"Vreia de Bornes";"171315";"true";"171300"
"111202";"Sapataria";"111202";"true";"111200"
"040724";"Passos";"040724";"true";"040700"
"041201";"Agrochão";"041201";"true";"041200"
"030927";"Travassos";"030927";"true";"030900"
"170501";"Atei";"170501";"true";"170500"
"181615";"Serrazes";"181615";"true";"181600"
"160925";"Outeiro";"160925";"true";"160900"
"160708";"Bertiandos";"160708";"true";"160700"
"041208";"Ervedosa";"041208";"true";"041200"
"181814";"Quintela";"181814";"true";"181800"
"030349";"Braga (São Vicente)";"030349";"true";"030300"
"131501";"Alfena";"131501";"true";"131500"
"170402";"Cidadelhe";"170402";"true";"170400"
"310906";"Ilha";"310906";"true";"310900"
"180405";"Ferreiros de Tendais";"180405";"true";"180400"
"181702";"Avelal";"181702";"true";"181700"
"010313";"Vilarinho do Bairro";"010313";"true";"010300"
"030203";"Adães";"030203";"true";"030200"
"160507";"Cunha";"160507";"true";"160500"
"160935";"Vila Franca";"160935";"true";"160900"
"090510";"Matança";"090510";"true";"090500"
"450105";"Topo (Nossa Senhora do Rosário)";"450105";"true";"450100"
"030330";"Padim da Graça";"030330";"true";"030300"
"030408";"Faia";"030408";"true";"030400"
"100306";"Pousaflores";"100306";"true";"100300"
"180313";"Moledo";"180313";"true";"180300"
"430105";"Sé";"430105";"true";"430100"
"090718";"Fernão Joanes";"090718";"true";"090700"
"430118";"Terra Chã";"430118";"true";"430100"
"090308";"Linhares";"090308";"true";"090300"
"142001";"Atalaia";"142001";"true";"142000"
"180713";"Passô";"180713";"true";"180700"
"180404";"Espadanedo";"180404";"true";"180400"
"020906";"São João dos Caldeireiros";"020906";"true";"020900"
"061011";"Tentúgal";"061011";"true";"061000"
"101509";"Pombal";"101509";"true";"101500"
"090309";"Maçal do Chão";"090309";"true";"090300"
"060601";"Alvares";"060601";"true";"060600"
"071303";"Aguiar";"071303";"true";"071300"
"150203";"São Francisco";"150203";"true";"150200"
"110501";"Alcabideche";"110501";"true";"110500"
"040236";"Rebordãos";"040236";"true";"040200"
"160313";"Penso";"160313";"true";"160300"
"110607";"Beato";"110607";"true";"110600"
"031337";"Ponte";"031337";"true";"031300"
"091312";"Moreira de Rei";"091312";"true";"091300"
"170108";"Pegarinhos";"170108";"true";"170100"
"030808";"Caldelas";"030808";"true";"030800"
"160750";"Vitorino das Donas";"160750";"true";"160700"
"430201";"Agualva";"430201";"true";"430200"
"091309";"Granja";"091309";"true";"091300"
"171416";"Mondrões";"171416";"true";"171400"
"060324";"São Silvestre";"060324";"true";"060300"
"030719";"Passos";"030719";"true";"030700"
"100205";"Pelmá";"100205";"true";"100200"
"141613";"Moçarria";"141613";"true";"141600"
"170703";"Fiolhoso";"170703";"true";"170700"
"430119";"Vila de São Sebastião";"430119";"true";"430100"
"101405";"Serra d'El-Rei";"101405";"true";"101400"
"011202";"Monte";"011202";"true";"011200"
"180309";"Gosende";"180309";"true";"180300"
"181505";"Paredes da Beira";"181505";"true";"181500"
"160742";"Santa Comba";"160742";"true";"160700"
"030708";"Estorãos";"030708";"true";"030700"
"130119";"Lomba";"130119";"true";"130100"
"140207";"Moitas Venda";"140207";"true";"140200"
"091212";"Sandomil";"091212";"true";"091200"
"071102";"Corval";"071102";"true";"071100"
"450104";"Santo Antão";"450104";"true";"450100"
"030722";"Quinchães";"030722";"true";"030700"
"031325";"Loureira";"031325";"true";"031300"
"060309";"Brasfemes";"060309";"true";"060300"
"160501";"Agualonga";"160501";"true";"160500"
"450103";"Ribeira Seca";"450103";"true";"450100"
"130609";"Moreira";"130609";"true";"130600"
"170607";"Covelo do Gerês";"170607";"true";"170600"
"050410";"Bogas de Cima";"050410";"true";"050400"
"130107";"Candemil";"130107";"true";"130100"
"030120";"Bouro (Santa Marta)";"030120";"true";"030100"
"101003";"Moita";"101003";"true";"101000"
"090751";"Vila Fernando";"090751";"true";"090700"
"080403";"Odeleite";"080403";"true";"080400"
"021111";"Vila Nova de Milfontes";"021111";"true";"021100"
"090619";"Vila Cortês da Serra";"090619";"true";"090600"
"070202";"Igrejinha";"070202";"true";"070200"
"131503";"Ermesinde";"131503";"true";"131500"
"140908";"Santana do Mato";"140908";"true";"140900"
"030806";"Barco";"030806";"true";"030800"
"170314";"Lama de Arcos";"170314";"true";"170300"
"180616";"São João da Fresta";"180616";"true";"180600"
"031401";"Santa Eulália";"031401";"true";"031400"
"030510";"Fervença";"030510";"true";"030500"
"030521";"Vale de Bouro";"030521";"true";"030500"
"060205";"Cordinhã";"060205";"true";"060200"
"070515";"Canaviais";"070515";"true";"070500"
"310203";"Estreito Câmara de Lobos";"310203";"true";"310200"
"050412";"Castelejo";"050412";"true";"050400"
"160104";"Ázere";"160104";"true";"160100"
"160816";"Verdoejo";"160816";"true";"160800"
"420606";"Ribeira Seca";"420606";"true";"420600"
"010417";"São Miguel do Mato";"010417";"true";"010400"
"021107";"São Martinho das Amoreiras";"021107";"true";"021100"
"090406";"Escalhão";"090406";"true";"090400"
"150910";"São Francisco da Serra";"150910";"true";"150900"
"090729";"Pega";"090729";"true";"090700"
"080805";"Quarteira";"080805";"true";"080800"
"171406";"Campeã";"171406";"true";"171400"
"050606";"Madeirã";"050606";"true";"050600"
"180614";"Quintela de Azurara";"180614";"true";"180600"
