"170000";"171300";"171316";"Vreia de Jales";2005-04-30;2006-05-30
"170000";"171300";"171316";"Vreia de Jales";2006-05-31;2007-06-29
"170000";"171300";"171316";"Vreia de Jales";2007-06-30;2008-08-04
"170000";"171300";"171316";"Vreia de Jales";2008-08-05;2009-06-29
"170000";"171300";"171316";"Vreia de Jales";2009-06-30;2010-07-29
"170000";"171300";"171316";"Vreia de Jales";2010-07-30;2050-12-31
"170000";"171300";"171317";"Sabroso de Aguiar";1993-07-09;2001-03-11
"170000";"171300";"171317";"Sabroso de Aguiar";2001-03-12;2003-07-30
"170000";"171300";"171317";"Sabroso de Aguiar";2003-07-31;2004-07-30
"170000";"171300";"171317";"Sabroso de Aguiar";2004-07-31;2005-04-29
"170000";"171300";"171317";"Sabroso de Aguiar";2005-04-30;2006-05-30
"170000";"171300";"171317";"Sabroso de Aguiar";2006-05-31;2007-06-29
"170000";"171300";"171317";"Sabroso de Aguiar";2007-06-30;2008-08-04
"170000";"171300";"171317";"Sabroso de Aguiar";2008-08-05;2009-06-29
"170000";"171300";"171317";"Sabroso de Aguiar";2009-06-30;2010-07-29
"170000";"171300";"171317";"Sabroso de Aguiar";2010-07-30;2050-12-31
"170000";"171300";"171318";"Lixa do Alvão";2004-01-01;2004-07-30
"170000";"171300";"171318";"Lixa do Alvão";2004-07-31;2005-04-29
"170000";"171300";"171318";"Lixa do Alvão";2005-04-30;2006-05-30
"170000";"171300";"171318";"Lixa do Alvão";2006-05-31;2007-06-29
"170000";"171300";"171318";"Lixa do Alvão";2007-06-30;2008-08-04
"170000";"171300";"171318";"Lixa do Alvão";2008-08-05;2009-06-29
"170000";"171300";"171318";"Lixa do Alvão";2009-06-30;2010-07-29
"170000";"171300";"171318";"Lixa do Alvão";2010-07-30;2013-09-29
"170000";"171300";"171319";"Alvão";2013-09-30;2050-12-31
"170000";"171300";"171320";"Pensalvos e Parada de Monteiros";2013-09-30;2050-12-31
"170000";"171400";"1714AA";"Cumieira";1895-09-26;1898-01-12
"170000";"171400";"1714AB";"Fornelos";1895-09-26;1898-01-12
"170000";"171400";"1714AC";"Louredo";1895-09-26;1898-01-12
"170000";"171400";"171401";"Abaças";1836-12-31;2001-03-11
"170000";"171400";"171401";"Abaças";2001-03-12;2003-07-30
"170000";"171400";"171401";"Abaças";2003-07-31;2004-07-30
"170000";"171400";"171401";"Abaças";2004-07-31;2005-04-29
"170000";"171400";"171401";"Abaças";2005-04-30;2006-05-30
"170000";"171400";"171401";"Abaças";2006-05-31;2007-06-29
"170000";"171400";"171401";"Abaças";2007-06-30;2008-08-04
"170000";"171400";"171401";"Abaças";2008-08-05;2009-06-29
"170000";"171400";"171401";"Abaças";2009-06-30;2010-07-29
"170000";"171400";"171401";"Abaças";2010-07-30;2050-12-31
"170000";"171400";"171402";"Adoufe";1836-12-31;2001-03-11
"170000";"171400";"171402";"Adoufe";2001-03-12;2003-07-30
"170000";"171400";"171402";"Adoufe";2003-07-31;2004-07-30
"170000";"171400";"171402";"Adoufe";2004-07-31;2005-04-29
"170000";"171400";"171402";"Adoufe";2005-04-30;2006-05-30
"170000";"171400";"171402";"Adoufe";2006-05-31;2007-06-29
"170000";"171400";"171402";"Adoufe";2007-06-30;2008-08-04
